match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T207290,Super Kings Vs Super Giants,Super Giants,RaviBishnoi,4.0,0,28,3,7.0,13,1,2,1,0
T207290,Super Kings Vs Super Giants,Super Kings,DeepakChahar,4.0,0,55,0,13.75,6,7,1,5,0
T207290,Super Kings Vs Super Giants,Super Kings,BenStokes,1.0,0,18,0,18.0,0,2,1,0,0
T207290,Super Kings Vs Super Giants,Super Kings,TusharDeshpande,4.0,0,45,2,11.25,7,2,2,4,3
T207290,Super Kings Vs Super Giants,Super Kings,MoeenAli,4.0,0,26,4,6.5,10,0,1,1,0
T207290,Super Kings Vs Super Giants,Super Kings,MitchellSantner,4.0,0,21,1,5.25,9,0,1,0,0
T207290,Super Kings Vs Super Giants,Super Kings,RajvardhanHangargekar,2.0,0,24,0,12.0,4,2,1,3,0
T207290,Super Kings Vs Super Giants,Super Kings,RavindraJadeja,1.0,0,14,0,14.0,2,0,2,0,0
T206559,Capitals Vs Titans,Titans,MohammedShami,4.0,0,41,3,10.25,15,5,1,4,0
T206559,Capitals Vs Titans,Titans,JoshLittle,4.0,0,27,0,6.75,11,2,1,0,0
T206559,Capitals Vs Titans,Titans,HardikPandya,3.0,0,18,0,6.0,6,2,0,0,0
T206559,Capitals Vs Titans,Titans,AlzarriJoseph,4.0,0,29,2,7.25,13,3,1,1,0
T206559,Capitals Vs Titans,Titans,YashDayal,1.0,0,12,0,12.0,0,0,1,0,0
T206559,Capitals Vs Titans,Titans,RashidKhan,4.0,0,31,3,7.75,9,2,2,0,0
T206559,Capitals Vs Titans,Capitals,KhaleelAhmed,4.0,0,38,1,9.5,9,5,1,1,0
T206559,Capitals Vs Titans,Capitals,MukeshKumar,4.0,0,42,0,10.5,8,5,2,1,0
T206559,Capitals Vs Titans,Capitals,AnrichNortje,4.0,0,39,2,9.75,9,3,2,0,2
T206559,Capitals Vs Titans,Capitals,MitchellMarsh,3.1,0,24,1,7.57,4,1,0,1,0
T206559,Capitals Vs Titans,Capitals,KuldeepYadav,3.0,0,18,0,6.0,5,1,0,1,0
T203806,Punjab Kings Vs Royals,Royals,TrentBoult,4.0,0,38,0,9.5,8,3,2,1,0
T203806,Punjab Kings Vs Royals,Royals,KMAsif,4.0,0,54,0,13.5,7,5,3,3,1
T203806,Punjab Kings Vs Royals,Royals,RavichandranAshwin,4.0,0,25,1,6.25,7,2,0,1,0
T203806,Punjab Kings Vs Royals,Royals,JasonHolder,4.0,0,29,2,7.25,7,2,1,0,0
T203806,Punjab Kings Vs Royals,Royals,YuzvendraChahal,4.0,0,50,1,12.5,5,7,1,1,0
T203806,Punjab Kings Vs Royals,Punjab Kings,SamCurran,4.0,0,44,0,11.0,7,3,3,0,0
T203806,Punjab Kings Vs Royals,Punjab Kings,ArshdeepSingh,4.0,0,47,2,11.75,10,4,3,3,0
T203806,Punjab Kings Vs Royals,Punjab Kings,HarpreetBrar,2.0,0,15,0,7.5,5,2,0,0,0
T203806,Punjab Kings Vs Royals,Punjab Kings,NathanEllis,4.0,0,30,4,7.5,11,2,2,0,0
