match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,matchDate
Capitals Vs Mumbai,Capitals,KuldeepYadav,2,0,23,0,11.50,2,1,2,0,0,"Apr 11, 2023"
Royals Vs Super Kings,Super Kings,AkashSingh,4,0,40,2,10.00,7,2,3,1,0,"Apr 12, 2023"
Royals Vs Super Kings,Super Kings,TusharDeshpande,4,0,37,2,9.25,7,4,1,1,0,"Apr 12, 2023"
Royals Vs Super Kings,Super Kings,MaheeshTheekshana,4,0,42,0,10.50,4,5,1,0,0,"Apr 12, 2023"
Royals Vs Super Kings,Super Kings,RavindraJadeja,4,0,21,2,5.25,11,0,0,3,0,"Apr 12, 2023"
Royals Vs Super Kings,Super Kings,MoeenAli,2,0,21,1,10.50,3,0,2,0,0,"Apr 12, 2023"
Royals Vs Super Kings,Super Kings,SisandaMagala,2,0,14,0,7.00,2,0,0,1,0,"Apr 12, 2023"
Royals Vs Super Kings,Royals,SandeepSharma,3,0,30,1,10.00,6,1,2,2,0,"Apr 12, 2023"
Royals Vs Super Kings,Royals,KuldeepSen,2,0,8,0,4.00,4,0,0,0,0,"Apr 12, 2023"
Royals Vs Super Kings,Royals,JasonHolder,3,0,37,0,12.33,4,4,2,1,0,"Apr 12, 2023"
Royals Vs Super Kings,Royals,AdamZampa,4,0,43,1,10.75,5,4,1,1,0,"Apr 12, 2023"
Royals Vs Super Kings,Royals,RavichandranAshwin,4,0,25,2,6.25,10,1,1,2,0,"Apr 12, 2023"
Royals Vs Super Kings,Royals,YuzvendraChahal,4,0,27,2,6.75,8,2,0,1,0,"Apr 12, 2023"
Punjab Kings Vs Titans,Titans,MohammedShami,4,0,44,1,11.00,9,7,1,1,0,"Apr 13, 2023"
Punjab Kings Vs Titans,Titans,JoshLittle,4,0,31,1,7.75,11,3,1,3,0,"Apr 13, 2023"
Punjab Kings Vs Titans,Titans,AlzarriJoseph,4,0,32,1,8.00,11,1,2,5,0,"Apr 13, 2023"
Punjab Kings Vs Titans,Titans,RashidKhan,4,0,26,1,6.50,13,3,1,0,0,"Apr 13, 2023"
Punjab Kings Vs Titans,Titans,MohitSharma,4,0,18,2,4.50,12,2,0,0,0,"Apr 13, 2023"
Punjab Kings Vs Titans,Punjab Kings,ArshdeepSingh,4,0,33,1,8.25,8,5,0,0,0,"Apr 13, 2023"
Punjab Kings Vs Titans,Punjab Kings,KagisoRabada,4,0,36,1,9.00,11,5,1,0,0,"Apr 13, 2023"
Punjab Kings Vs Titans,Punjab Kings,HarpreetBrar,4,0,20,1,5.00,8,1,0,0,0,"Apr 13, 2023"
Punjab Kings Vs Titans,Punjab Kings,SamCurran,3.5,0,25,1,6.52,7,2,0,0,0,"Apr 13, 2023"
Punjab Kings Vs Titans,Punjab Kings,RahulChahar,3,0,24,0,8.00,4,3,0,0,0,"Apr 13, 2023"
Punjab Kings Vs Titans,Punjab Kings,MatthewShort,1,0,8,0,8.00,1,1,0,0,0,"Apr 13, 2023"
Sunrisers Vs KKR,KKR,UmeshYadav,3,0,42,0,14.00,3,3,3,1,0,"Apr 14, 2023"
Sunrisers Vs KKR,KKR,LockieFerguson,2,0,37,0,18.50,4,5,1,1,1,"Apr 14, 2023"
Sunrisers Vs KKR,KKR,SunilNarine,4,0,28,0,7.00,7,1,1,2,0,"Apr 14, 2023"
Sunrisers Vs KKR,KKR,AndreRussell,2.1,0,22,3,10.15,4,2,1,2,0,"Apr 14, 2023"
Sunrisers Vs KKR,KKR,VarunChakravarthy,4,0,41,1,10.25,4,3,2,1,0,"Apr 14, 2023"
Sunrisers Vs KKR,KKR,SuyashSharma,4,0,44,0,11.00,8,4,3,0,0,"Apr 14, 2023"
Sunrisers Vs KKR,KKR,ShardulThakur,0.5,0,14,0,16.80,0,3,0,0,0,"Apr 14, 2023"
Sunrisers Vs KKR,Sunrisers,BhuvneshwarKumar,4,1,29,1,7.25,10,4,0,1,0,"Apr 14, 2023"
Sunrisers Vs KKR,Sunrisers,MarcoJansen,4,0,37,2,9.25,12,1,3,4,2,"Apr 14, 2023"
